,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
6,2018-12-21,AXISBANK,EQ,632.95,633.3,637.85,616.65,621.65,620.85,626.98,10715457,671841663180000.0,117567,5703725,0.5323
0,2018-12-13,BAJAJ-AUTO,EQ,2848.4,2860.0,2885.65,2821.7,2836.0,2836.1,2849.29,466453,132906213684999.98,38945,102516,0.2198
1,2018-12-14,BAJAJ-AUTO,EQ,2836.1,2836.0,2837.35,2785.2,2808.5,2823.15,2812.76,465457,130921987184999.98,43422,132436,0.2845
2,2018-12-17,BAJAJ-AUTO,EQ,2823.15,2833.0,2853.0,2826.1,2847.0,2840.95,2839.64,225455,64021174590000.0,13864,62295,0.2763
3,2018-12-18,BAJAJ-AUTO,EQ,2840.95,2840.0,2873.8,2822.05,2835.8,2840.9,2845.02,443162,126080558450000.0,38467,150562,0.3397
4,2018-12-19,BAJAJ-AUTO,EQ,2840.9,2853.9,2882.0,2845.05,2866.6,2863.0,2865.38,393269,112686568684999.98,29383,122833,0.3123
5,2018-12-20,BAJAJ-AUTO,EQ,2863.0,2855.0,2900.0,2832.0,2897.0,2887.2,2864.67,288162,82548998325000.0,16790,60164,0.20879999999999999
6,2018-12-21,BAJAJ-AUTO,EQ,2887.2,2897.0,2905.0,2801.0,2807.0,2808.45,2838.47,386367,109669088065000.02,36237,134185,0.3473
0,2018-12-13,BAJAJFINSV,EQ,5989.0,6050.0,6228.0,6020.1,6179.45,6159.4,6139.85,272548,167340338740000.0,31070,62747,0.2302
1,2018-12-14,BAJAJFINSV,EQ,6159.4,6179.9,6208.2,6101.3,6153.1,6177.65,6157.67,168709,103885444125000.0,23032,34913,0.20690000000000003
2,2018-12-17,BAJAJFINSV,EQ,6177.65,6175.05,6199.0,6050.0,6089.75,6087.8,6092.07,153950,93787394455000.0,23261,49227,0.31980000000000003
3,2018-12-18,BAJAJFINSV,EQ,6087.8,6090.0,6165.0,6076.7,6138.5,6152.65,6134.24,151411,92879078020000.0,16173,26083,0.1723
4,2018-12-19,BAJAJFINSV,EQ,6152.65,6190.0,6425.0,6188.1,6397.95,6405.45,6346.36,355577,225661850715000.0,56446,118942,0.3345
5,2018-12-20,BAJAJFINSV,EQ,6405.45,6330.05,6421.0,6302.15,6410.0,6404.95,6375.12,187601,119597899290000.02,20483,25918,0.13820000000000002
6,2018-12-21,BAJAJFINSV,EQ,6404.95,6447.0,6500.0,6296.1,6355.9,6360.1,6387.36,309851,197912968395000.0,36305,87528,0.28250000000000003
